                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.86155,                 1.5813,                0.71388,                 1.0329,                 0.7587,                0.75161,                0.76009,                0.53954,                0.75433,                0.74117,                0.74707,                0.46888,                 1.0036,                 1.7726,                 0.8738,                 1.1395,             0.00036325,             0.00036325,             0.00036325
                     25,                0.86022,                 1.5656,                0.71139,                  1.032,                0.74059,                0.73575,                0.74859,                0.53139,                0.73779,                0.73764,                0.73929,                0.45991,                 1.0014,                 1.7471,                0.88356,                 1.1387,             0.00035004,             0.00035004,             0.00035004
                     26,                0.84299,                  1.536,                 0.6882,                 1.0256,                0.75962,                 0.7301,                 0.7548,                0.53938,                0.78738,                0.71347,                0.74726,                0.46942,                0.99965,                 1.7834,                 0.8719,                 1.1377,             0.00033683,             0.00033683,             0.00033683
                     27,                0.84298,                 1.5383,                0.69093,                 1.0262,                 0.7851,                0.72832,                0.76482,                0.54244,                0.78288,                0.72113,                0.75339,                0.47172,                0.99521,                 1.7492,                0.86695,                 1.1371,             0.00032363,             0.00032363,             0.00032363
                     28,                0.83355,                 1.5123,                0.67287,                 1.0195,                0.76753,                0.73854,                0.76246,                0.54184,                0.77143,                0.73977,                0.75487,                0.47189,                0.99824,                 1.7437,                0.86861,                 1.1338,             0.00031042,             0.00031042,             0.00031042
                     29,                0.83229,                 1.4917,                0.66369,                 1.0133,                0.75597,                0.74124,                0.76096,                0.53966,                0.75087,                0.74648,                0.75134,                0.47224,                 1.0061,                  1.769,                0.85879,                 1.1389,             0.00029722,             0.00029722,             0.00029722
                     30,                0.82463,                 1.4869,                0.66314,                 1.0143,                0.75377,                0.74333,                0.75651,                0.53652,                0.76037,                0.73815,                0.75234,                0.46661,                 1.0067,                 1.7543,                0.86869,                 1.1409,             0.00028401,             0.00028401,             0.00028401
                     31,                0.81644,                 1.4685,                 0.6495,                 1.0109,                0.76093,                0.74105,                 0.7572,                 0.5417,                0.76797,                0.73074,                0.75045,                0.47292,                0.99036,                 1.7557,                0.86604,                 1.1342,              0.0002708,              0.0002708,              0.0002708
                     32,                 0.8158,                 1.4665,                0.64507,                 1.0048,                0.75897,                 0.7417,                0.76413,                0.53988,                0.76954,                 0.7206,                0.75243,                0.46872,                0.99505,                 1.7825,                0.87469,                 1.1368,              0.0002576,              0.0002576,              0.0002576
                     33,                 0.8119,                 1.4491,                0.63742,                 1.0049,                0.76486,                0.73358,                0.75757,                0.54017,                0.76623,                0.73333,                0.75235,                 0.4662,                  1.006,                  1.784,                 0.8644,                 1.1439,             0.00024439,             0.00024439,             0.00024439
                     34,                0.79937,                 1.4182,                0.62928,                 1.0011,                0.76864,                0.74354,                0.76175,                0.54174,                0.77547,                0.73514,                0.75332,                0.47824,                 1.0127,                 1.7865,                0.86345,                 1.1519,             0.00023118,             0.00023118,             0.00023118
                     35,                0.80136,                  1.431,                0.61972,                 1.0009,                0.76372,                0.74831,                0.76221,                0.54728,                0.77331,                0.73942,                0.75644,                0.47643,                 0.9896,                  1.769,                0.85784,                 1.1383,             0.00021798,             0.00021798,             0.00021798
                     36,                0.79606,                 1.4305,                0.61184,                0.99456,                 0.7822,                0.74138,                0.76071,                 0.5431,                0.76768,                0.73756,                0.75033,                0.47104,                0.99108,                 1.8029,                0.85822,                  1.134,             0.00020477,             0.00020477,             0.00020477
                     37,                0.79184,                 1.4082,                0.60619,                0.99467,                0.76352,                0.74964,                0.75497,                0.54154,                0.76568,                 0.7455,                0.74712,                0.47287,                0.98719,                 1.7908,                0.85943,                 1.1392,             0.00019156,             0.00019156,             0.00019156
                     38,                0.78057,                 1.3897,                0.59829,                0.98891,                0.72848,                0.75784,                0.75733,                0.54572,                0.74989,                0.74471,                0.74967,                0.47424,                0.98689,                 1.8082,                0.85309,                 1.1355,             0.00017836,             0.00017836,             0.00017836
                     39,                0.77376,                  1.389,                0.58879,                0.98386,                0.75947,                 0.7509,                0.76682,                 0.5519,                0.75816,                0.74126,                0.75046,                0.47548,                0.98595,                 1.7948,                0.84838,                  1.136,             0.00016515,             0.00016515,             0.00016515
                     40,                0.76588,                 1.3622,                0.57925,                0.97918,                0.78328,                 0.7391,                0.76355,                0.54968,                0.79173,                0.73375,                0.75756,                 0.4771,                0.98531,                 1.8063,                0.84963,                 1.1352,             0.00015194,             0.00015194,             0.00015194
                     41,                0.80152,                 1.3354,                0.59245,                0.99703,                0.75225,                0.75528,                 0.7598,                0.54465,                0.72793,                 0.7526,                0.74799,                0.47439,                0.99041,                 1.8437,                0.86126,                 1.1418,             0.00013874,             0.00013874,             0.00013874
                     42,                0.78736,                 1.2976,                0.56383,                0.98977,                0.76088,                0.74559,                0.76408,                0.54851,                0.76059,                0.73425,                0.75274,                0.47264,                0.99385,                  1.843,                0.84751,                 1.1403,             0.00012553,             0.00012553,             0.00012553
                     43,                0.77826,                 1.2866,                0.54929,                 0.9823,                0.76206,                0.74871,                0.76037,                0.54849,                0.75678,                0.74488,                0.74851,                 0.4728,                0.98929,                 1.8556,                0.85085,                 1.1401,             0.00011232,             0.00011232,             0.00011232
                     44,                0.77119,                 1.2713,                0.54052,                0.97717,                0.73496,                0.76145,                0.75735,                0.55061,                0.74191,                0.75679,                0.75319,                0.47447,                0.98052,                  1.857,                0.85336,                 1.1391,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     45,                 0.7621,                 1.2536,                0.53028,                0.97371,                0.74452,                 0.7619,                0.75958,                0.55104,                0.77666,                0.73288,                0.75346,                0.47664,                0.98595,                 1.8792,                0.85718,                  1.143,              8.591e-05,              8.591e-05,              8.591e-05
                     46,                0.75581,                 1.2449,                0.52162,                0.96886,                0.75418,                  0.753,                0.75799,                0.54869,                0.74975,                0.74881,                0.74986,                0.47246,                0.98822,                 1.8846,                0.85925,                 1.1444,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     47,                0.74648,                 1.2378,                0.51317,                0.96403,                0.76813,                0.74349,                0.75607,                0.54822,                0.77019,                0.73349,                0.74545,                0.47217,                0.98358,                 1.8834,                0.85691,                  1.142,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     48,                0.73996,                 1.2258,                0.50758,                0.96179,                0.74182,                0.76418,                 0.7556,                0.54852,                0.75151,                0.75245,                0.75057,                0.47649,                0.98736,                 1.9171,                0.85986,                 1.1502,              4.629e-05,              4.629e-05,              4.629e-05
                     49,                0.73775,                 1.2163,                0.50135,                0.96086,                 0.7497,                0.76148,                0.75732,                0.55032,                0.76769,                0.74009,                0.75357,                0.47845,                0.97933,                 1.8983,                0.85923,                 1.1432,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     50,                0.72999,                 1.2106,                0.49524,                0.95827,                0.76418,                0.74878,                0.75758,                0.54905,                 0.7711,                0.74061,                0.75162,                0.47594,                0.98082,                 1.9077,                0.85955,                 1.1462,             1.9877e-05,             1.9877e-05,             1.9877e-05
